"Afghanistan","38928346","60","18","25"
"Albanie","2877797","105","36","63"
"Algérie","43851044","18","29","73"
"Andorre","77265","164","45","88"
"Antigua-et-Barbuda","97929","223","34","26"
"Argentine","45195774","17","32","93"
"Arménie","2963243","104","35","63"
"Aruba","106766","593","41","44"
"Australie","25499884","3","38","86"
"Autriche","9006398","109","43","57"
"Azerbaïdjan","10139177","123","32","56"
"Bahamas","393244","39","32","86"
"Bahrein","1701575","2239","32","89"
"Bangladesh","164689383","1265","28","39"
"Barbade","287375","668","40","31"
"Biélorussie","9449323","47","40","79"
"Belgique","11589623","383","42","98"
"Belize","397628","17","24","46"
"Bénin","12123200","108","19","48"
"Bhoutan","771608","20","28","46"
"Bolivie","11673021","11","26","69"
"Bosnie-Herzégovine","3280819","64","43","52"
"Brésil","212559417","25","33","88"
"Brunei","437479","83","32","80"
"Bulgarie","6948445","64","45","76"
"Burkina Faso","20903273","76","18","31"
"Cap-Vert","554441","138","27.6","68"
"Cambodge","16718965","95","26","24"
"Cameroun","26545863","56","19","56"
"Canada","37742154","4","41","81"
"République centrafricaine","37742154","8","18","43"
"Tchad","16302699","13","16.6","23.3"
"Chili","19116201","26","35","85"
"Hong Kong","7496981","7140","45","100"
"Chine","1439323776","153","38","61"
"Colombie","50882891","46","31","80"
"République du Congo","5518087","16","19","70"
"Congo (RDC)","89561403","40","17","46"
"Costa Rica","5094118","100","33","80"
"Côte d'Ivoire","26378274","83","19","51"
"Croatie","4105267","73","44","58"
"Cuba","11326616","106","42","78"
"Chypre","1207359","131","37","67"
"République Tchèque","10708981","139","43","74"
"Danemark","5792202","137","42","88"
"Djibouti","988000","43","27","79"
"Dominique","71986","96","33.5","74"
"République Dominicaine","10847910","225","28","85"
"Équateur","17643054","71","28","63"
"Égypte","102334404","103","25","43"
"Le Salvador","6486205","313","27.6","73.4"
"Guinée Équatoriale","1402985","50","22","73"
"Érythrée","3546421","35","19.2","63.3"
"Estonie","1326535","31","42","68"
"Swaziland","1160164","67","21","30"
"Éthiopie","114963588","115","19","21"
"Îles Féroé","48873","35","38","88"
"Fidji","896445","49","27.9","59.1"
"Finlande","5540720","18","43","86"
"France","65273511","119","42","82"
"Guyane française","298682","4","25","87"
"Gabon","2225734","9","23","87"
"Gambie","2416668","239","18","59"
"Géorgie","3989167","57","38","58"
"Allemagne","83783942","240","46","76"
"Ghana","31072940","137","22","57"
"Grèce","10423054","81","46","85"
"Grenade","112523","331","32","35.5"
"Groenland","56770","0","34","87"
"Guadeloupe","400124","237","44","96"
"Guam","168775","313","31","95"
"Guatemala","17915568","167","23","52"
"Guernesey","70000","965","44","86"
"Guinée","13132795","53","18","39"
"Guinée Bissau","1968001","70","18.8","44.9"
"Guyane","786552","4","27","27"
"Haïti","11402528","414","24","56.9"
"Vatican","801","2003","40","100"
"Honduras","9904607","89","24","57"
"Hongrie","9660351","107","43","72"
"Islande","341243","3","37","94"
"Inde","1380004385","464","28","35"
"Indonésie","273523615","151","30","56"
"Iran","83992949","52","32","76"
"Irak","40222493","93","21","73"
"Irlande","4937786","72","38","63"
"Israël","8655535","400","30","93"
"Italie","60461826","206","47","69"
"Jamaïque","2961167","273","31","55"
"Japon","126476461","347","48","92"
"Jersey","106800","819","38","98"
"Jordanie","10203134","115","24","91"
"Kazakhstan","18776707","7","31","58"
"Kenya","53771296","94","20","28"
"Kosovo","1810463","159","29","65"
"Koweit","4270571","240","37","92"
"Kirghizistan","6524195","34","26","36"
"Laos","7275560","32","24.4","35.7"
"Lettonie","1886198","30","44","69"
"Liban","6825445","667","30","78"
"Liberia","5057681","53","19","53"
"Libye","6847352","4","28.8","78.2"
"Liechtenstein","38128","109","41","15"
"Lituanie","2722289","43","45","71"
"Luxembourg","625978","242","40","88"
"Madagascar","27691018","48","19.6","38.5"
"Malaisie","32365999","99","30","78"
"Maldives","540544","1802","30","35"
"Mali","20250833","17","16.3","44"
"Malte","441543","1380","43","93"
"Martinique","375265","354","47","92"
"Mauritanie","4649658","5","20","57"
"Île Maurice","1271768","626","37","41"
"Mayotte","272815","728","20","46"
"Mexique","128932753","66","29","84"
"Moldavie","4033963","123","38","43"
"Monaco","39242","26337","54","100"
"Mongolie","3278290","2","28","67"
"Monténégro","628066","47","39","68"
"Maroc","36910560","83","30","64"
"Mozambique","31255435","40","17.6","38.3"
"Namibie","2540905","3","22","55"
"Népal","29136808","203","25","21"
"Curaçao","164093","370","41.6","88.7"
"Pays-Bas","17134872","508","43","92"
"Nouvelle-Zélande","4822233","18","38","87"
"Nicaragua","6624554","55","26.5","57.2"
"Niger","24206644","19","15.2","16.5"
"Nigeria","206139589","226","18","52"
"Norvège","5421241","15","40","83"
"Oman","5106626","16","31","87"
"Pakistan","220892340","287","23","35"
"Panama","4314767","58","30","68"
"Paraguay","7132538","18","26","62"
"Pérou","32971854","26","31","79"
"Philippines","109581078","368","26","47"
"Pologne","37846611","124","42","60"
"Portugal","10196709","111","46","66"
"Porto Rico","2860853","323","44","88"
"Qatar","2881053","248","32","96"
"Réunion","895312","358","36","100"
"Roumanie","19237691","84","43","55"
"Russie","145934462","9","40","74"
"Rwanda","12952218","525","20","18"
"Saint-Christophe-et-Niévès","53199","205","34.8","32.9"
"Sainte-Lucie","183627","301","34","19"
"Saint-Vincent-et-les-Grenadines","115000","307","33","78"
"Saint-Marin","33931","566","47","97"
"Arabie Saoudite","34813871","16","32","84"
"Sénégal","16743927","87","19","49"
"Serbie","8737371","100","42","56"
"Seychelles","98347","214","34","56"
"Singapour","5850342","8358","42","99"
"Slovaquie","5459642","114","41","54"
"Slovénie","2078938","103","45","55"
"Somalie","15893222","25","17","47"
"Afrique du Sud","59308690","49","28","67"
"Corée du Sud","51269185","527","44","82"
"Espagne","46754778","94","45","80"
"Sri Lanka","21413249","341","34","18"
"Soudan","43849260","25","20","35"
"Suriname","586632","4","29","65"
"Suède","10099265","25","41","88"
"Suisse","8654622","219","43","74"
"Syrie","17390388","95","25.6","60"
"Taïwan","23816775","673","42","79"
"Tanzanie","59734218","67","18","37"
"Thaïlande","69799978","137","40","51"
"Timor oriental","1318445","89","20.8","32.8"
"Togo","8278724","152","19","43"
"Trinité-et-Tobago","1399488","273","36","52"
"Tunisie","11818619","76","33","70"
"Turquie","84339067","110","32","76"
"États-Unis","331002651","36","38","83"
"Ouganda","45741007","229","16.7","25.7"
"Ukraine","43733762","75","41","69"
"Émirats Arabes Unis","9890402","118","33","86"
"Royaume-Uni","67886011","281","40","83"
"Uruguay","3473730","20","36","96"
"Ouzbekistan","33469203","79","28","50"
"Venezuela","28435940","32","30","80"
"Viêt Nam","97338579","314","32","38"
"Zambie","18383955","25","18","45"
"Zimbabwe","14862924","38","18.7","38.4"
